,"Citations","Chemin","Conditions d'accès","Contact du support de l'outil","Description","Input","License","Lien vers l'outil","Mots clés","Output","Pré-requis d'utilisation","Système d'exploitation","Type de logiciel","Téléchargements","Version du logiciel","Visites annuelles","Visites uniques","Responsable scientifique","Titre"
"Frog2","64","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"Frog is intended to generate 3D for drugs, usually described using a 1D or 2D representation. Frog performs isomer identification from ambiguous compound description. Frog is able to generate multi-conformations per isomer.
",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/Frog2/","Bioinformatique structurale, Prédictions des propriétés structurales",,,,,,,"6400 an","960 an","Tufféry Pierre","RPBS"
"PEP-SiteFinder","1","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"PEP-SiteFinder is a service aimed at identifying patches on a protein surface, which a peptide of specified sequence is likely to interact with.
",,,,,,,,,,,"1482 an","347 an","Tufféry Pierre","RPBS"
"HCA",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"Hydrophobic cluster analysis.
",,,,,,,,,,,"10000 an","3200 an","Tufféry Pierre","RPBS"
"PEP-FOLD","377","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"PEP-FOLD is a de novo approach aimed at predicting peptide structures from amino acid sequences.
This method, based on structural alphabet SA letters to describe the conformations of four consecutive residues, couples the predicted series of SA letters to a greedy algorithm and a coarse-grained force field.
",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/PEP-FOLD3/","Bioinformatique structurale, Modélisation comparative et de novo de structures",,,,,,,"30000 an","3900 an","Tufféry Pierre","RPBS"
"InterEvDock2","4","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"InterEvDock is a server for protein docking running the InterEvScore potential specifically designed to integrate evolutionary information in the docking process. The InterEvScore potential was developed for heteromeric protein interfaces and combines a residue-based multi-body statistical potential with evolutionary information derived from the multiple sequence alignments of each partner in the complex.
",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/InterEvDock2/","Bioinformatique structurale, Modélisation comparative et de novo de structures",,,,,,,"1120 an","310 an","Tufféry Pierre","RPBS"
"ACD Tools 2.0","1900",,"Gratuit
",,"A web-server for the generic analysis of large data sets of counts
",,,"https://www.igs.cnrs-mrs.fr/acdtool/","Biostatistiques",,,,,,,,,"Claverie Jean Michel","PACA-Bioinfo"
"Tcoffee","315",,"Gratuit
",,,,,,,,,,,,,"11271 an",,"Claverie Jean Michel","PACA-Bioinfo"
"Phylogeny.fr/ Blast-Explorer ","2200",,"Gratuit
",,"Robust Phylogenetic Analysis For The Non-Specialist
",,,"http://www.phylogeny.fr/","Analyse de séquences, Evolution et phylogénie, Génomique comparative",,,,,,,"800000 an","100000 an","Claverie Jean Michel","PACA-Bioinfo"
"QOD","1","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site de la plateforme.
",,"Comparaison multiple de génomes.
",,,"http://www.atgc-montpellier.fr/qod/","Génomique comparative, Comparaison des génomes",,,,,"2000",,,,"Rivals Eric, Guindon Stéphane","ATGC"
"CRAC","18","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site de la plateforme.
",,"Méthode d'analyse de données RNA-seq.
",,,"http://www.atgc-montpellier.fr/crac/","Analyse de données de séquençage NGS, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyses de transcrits et transcrits variants",,,,,"100",,,,"Rivals Eric, Guindon Stéphane","ATGC"
"MPscan","8","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site web de la plateforme.
",,"Méthode de mapping de reads sur un génome sans index.
",,,"http://www.atgc-montpellier.fr/mpscan/","Analyse de données de séquençage NGS, Méthodologie, Alignements de lectures sur des génomes",,,,,"110",,,"100 an","Rivals Eric, Guindon Stéphane","ATGC"
"PhySIC_IST ","20","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site web de la plateforme.
",,"Méthode de super-arbre
",,,"http://www.atgc-montpellier.fr/physic_ist/","Evolution et phylogénie, Phylogénomique, Super-arbres et réconciliations",,,,,,,,"150 an","Rivals Eric, Guindon Stéphane","ATGC"
"FastME","300","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site web de la plateforme.
",,"Méthode de distance pour l'inférence d'arbres phylogénétiques.
",,,"http://www.atgc-montpellier.fr/fastme/","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes",,,,,"230",,,"300 an","Rivals Eric, Guindon Stéphane","ATGC"
"BioNJ","900","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site web de la plateforme.
",,"Méthode de distance pour l'inférence d'arbres phylogénétiques.
",,,"http://www.atgc-montpellier.fr/bionj/","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes",,,,,,,,,"Rivals Eric, Guindon Stéphane","ATGC"
"phylogeny.fr ","1500","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site web de la plateforme.
",,"Pipeline d'analyse phylogénétique.
",,,"http://phylogeny.lirmm.fr/","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes",,,,,,,"40000 an",,"Rivals Eric, Guindon Stéphane","ATGC"
"PhyML","10000","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site web de la plateforme.
",,"Inférence d'arbres phylogénétiques en maximum de vraisemblance.
",,,"http://www.atgc-montpellier.fr/phyml/","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes",,,,,"4300",,"80000 an","10000 an","Rivals Eric, Guindon Stéphane","ATGC"
"ISsaga ","71","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ISfinder.JPG","Les utilisateurs demandent un compte puis peuvent charger de façon illimitée, des projets d’annotation de génomes.
Gratuit.
NB : Le nombre de nouveaux comptes ouverts par an est comptabilisé dans ""visites uniques"" mais chaque utilisateur a un accès illimité à son compte et à ses génomes chargés.
",,"Plateforme d’annotation semi-automatique des génomes bactériens.
2016 : nouvelle version, qui permet de soumettre pour annotation des contigs et des données métagénomiques.
",,,"https://www-is.biotoul.fr//","Analyse de séquences, Alignement (multiple) de séquences, Annotation de séquences, Recherche de motifs, Prédiction d'homologie/orthologie, Curation de collections de données, Comparaison des génomes",,,,,"23846",,,"368 an","Chandler Michael","ISfinder"
"Interface web Emboss ",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","Site web
",,"emboss tools interface.
",,,"http://emboss.toulouse.inra.fr/","Analyse de séquences",,,,,,,"14274 an","10059 an","Gaspin Christine","Genotoul-bioinfo"
"Interface web blast ",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","Available on the web site.
",,,,,"http://blast.toulouse.inra.fr/blast.html","Analyse de séquences",,,,,,,"325 an","194 an","Gaspin Christine","Genotoul-bioinfo"
"Galaxy (piloté par Sigenae) ","6","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","Available on a web site with login and password.
",,"Galaxy is a workbench available for biologists from Sigenae Platform. Galaxy objectives are:

Make bioinfo Linux tools accessible to biogists.
Hide the complexity of the infrastructure.
Allow creation, execution and sharing of workflows.

",,,"http://sigenae-workbench.toulouse.inra.fr/galaxy/","Analyse de données de séquençage NGS, Génomique (DNA-seq), Transcriptomique (RNA-seq), Analyse de variants, Métagénomique, métatranscriptomique",,,,,,,"9963 an","4112 an","Gaspin Christine","Genotoul-bioinfo"
"NG6","40","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","The NG6 code is freely available on the gitlab formia : https://forgemia.inra.fr/genotoul-bioinfo/ng6. To ease the installation, the package and all its dependencies are also available as a virtual machine. Installing and maintaining the system would require expertise in Linux system administration.
Available by the web site for users
",,"The platform works in tight collaboration with the GeT sequencing platform for the management and the analysis of data produced by their Roche 454 and Illumina HiSeq sequencers.
NG6 is an extensible sequencing provider oriented LIMS. It includes read quality control and first level analysis processes which ease the data validation made jointly by the sequencing facility staff ant the end-users. It provides a secured user-friendly interface to visualize and download the raw sequences files and the analysis results.
",,,"http://ng6.toulouse.inra.fr/index.php?id=3","Interfaces, portails web, Gestion et transfert de données",,,,,"1543",,"33094 an","18359 an","Gaspin Christine","Genotoul-bioinfo"
"RNAspace","27","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","RNAspace is an open source project. It is developed in Python. It is copyrighted with the GNU General Public License, and is free (in the GNU sense) for all to use, and is in constant development. RNAspace is hosted at Sourceforge. It is also available as a web server at rnaspace.org
",,"RNAspace is a platform which aims at providing an integrated environment for non-coding RNA annotation.
The increasing number of ncRNA discovered since 2000 and the lack of user friendly tools for finding and annotating them, have made necessary to propose to biologists an in silico environment allowing structural and functional annotations of these molecules with regard to available protein genes annotation environments.
RNAspace makes available a variety of ncRNA gene finders and ncRNA databases as well as user-friendly tools to explore computed results including comparison, visualization and edition of putative RNAs. RNAspace also allows to export putative RNAs in various formats.
",,,"http://rnaspace.org/","Analyse de la régulation de l’expression des gènes, Petits et longs ARN non-codants, Annotation de séquences",,,,,,,"17558 an","14318 an","Gaspin Christine","Genotoul-bioinfo"
"RNAbrowse nouvelle version ","17","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","The software package is available under the GNU General Public License (GPL) and can be downloaded from the gitlab formia : https://forgemia.inra.fr/genotoul-bioinfo/ngspipelines.
Available on web sites for users.
",,"35 instances including 10 Sigenae.
Transcriptome analysis based on a de novo assembly of next generation RNA sequences is now performed routinely in many laboratories. The generated results, including contig sequences, quantification figures, functional annotations and variation discovery outputs are usually bulky and quiet diverse. RNAbrowse is an user oriented storage and visualisation environment permitting to explore the data in a top-down manner, going from general graphical views to all possible details. The software package is based on biomart, easy to install and populate with local data.
",,,"https://forgemia.inra.fr/genotoul-bioinfo/ngspipelines","Analyse de données de séquençage NGS, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyses de transcrits et transcrits variants, Analyse de variants, Interfaces, portails web",,,,,"1982",,"4720 an","2250 an","Gaspin Christine","Genotoul-bioinfo"
"MIX","14","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/cbib.jpg","Public
",,"Outil pour le finishing des assemblages de génomes.
",,,"https://github.com/cbib/MIX","Analyse de données de séquençage NGS, Méthodologie",,,,,,,,,"Nikolski Macha","CBiB"
"Tango","9","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/cbib.jpg","Public
",,"Outil pour l'assignation taxonomique (métagénomique).
",,,"https://sourceforge.net/projects/taxoassignment/","Analyse de données de séquençage NGS, Métagénomique, métatranscriptomique, Génomique comparative, Comparaison des génomes",,,,,,,,,"Nikolski Macha","CBiB"
"XEML-Lab ","24","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/cbib.jpg","Public
",,"Gestion de métadonnées d'expériences.
",,,"https://github.com/cbib/XEML-Lab","Curation de collections de données",,,,,,,,,"Nikolski Macha","CBiB"
"Galaxy@CBiB ",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/cbib.jpg","Libre sur le web, sur demande pour avoir un espace de travail plus conséquent.
",,"Portail d'analyse de données Galaxy. Des outils bioinformatiques sont mis à disposition sur le Toolshed: 400 briques testées.
",,,"https://services.cbib.u-bordeaux.fr/galaxy/","Analyse de données de séquençage NGS, Analyse de séquences",,,,,,,,"150 an","Nikolski Macha","CBiB"
"SuMO","97",,"http://sumo-pbil.ibcp.fr/cgi-bin/sumo-welcome
",,"Comparaisons par objets de surface et site de protéines.
",,,"http://sumo-pbil.ibcp.fr","Bioinformatique structurale, Analyse des structures, recherche d'homologues et de motifs structuraux",,,,,,,"7728 an",,"Terreux Raphaël","PRABI-Lyon-Gerland"
"NPS@ ","1079",,"https://npsa-prabi.ibcp.fr (depuis avril 1998).
",,"Serveur intégré d’analyse de séquences des protéines.
",,,"https://npsa-prabi.ibcp.fr","Analyse de séquences, Algorithmique des séquences, Alignement (multiple) de séquences, Annotation de séquences, Recherche de motifs, Prédiction d'homologie/orthologie, Bioinformatique structurale, Prédictions des propriétés structurales",,,,,,,"480414 an",,"Terreux Raphaël","PRABI-Lyon-Gerland"
"Geno3D@ ","304",,"https://geno3d-prabi.ibcp.fr (depuis février 2001).
",,"Modélisation par homologie automatisée de la structure tridimensionnelle des protéines.
",,,"https://geno3d-prabi.ibcp.fr","Bioinformatique structurale, Analyse des structures, recherche d'homologues et de motifs structuraux, Prédictions des propriétés structurales, Modélisation comparative et de novo de structures",,,,,,,"16419 an","5837 an","Terreux Raphaël","PRABI-Lyon-Gerland"
"ESPript/ENDscript ","2892",,"http://espript.ibcp.fr et http://endscript.ibcp.fr
Le serveur ESPript/ENDscript est accessible gratuitement, via Internet et sans enregistrement, à la communauté scientifique pour un usage académique.
",,,,,"http://espript.ibcp.fr/","Analyse de séquences, Alignement (multiple) de séquences, Recherche de motifs, Bioinformatique structurale, Analyse des structures, recherche d'homologues et de motifs structuraux",,,,,,,"200000 an","40000 an","Terreux Raphaël","PRABI-Lyon-Gerland"
"Metabarcoding",,,"http://metabarcoding.org
",,,,,,,,,,,,,"14657 an","9827 an","Vandenbrouck Yves","PRABI-Lyon-Grenoble"
"BioQuali ","11","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Accès libre.
",,"Plugin de visualisation et d’analyse de réseaux pour Cytoscape (mis en production en 2009).
",,,,,,,,,,,,,"Nicolas Jacques","GenOuest "
"e-BGO ",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Accès public.
",,"Portail de collaboration scientifique (mise en production en 2013).
",,,"https://www.e-biogenouest.org","Interfaces, portails web, Bases de données et systèmes d’informations",,,,,,,,"2833 an","Nicolas Jacques","GenOuest "
"Logol",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Utilisation interne.
Accès libre.
",,"Langage pour la recherche de motifs complexes. Interface web évoluée et téléchargement possible. La ressource a été mise en ligne en 2013 pour une première phase d’utilisation interne pour finaliser les développements et aboutir à un système stable.
",,,"http://logol.genouest.org","Analyse de séquences, Recherche de motifs",,,,,,,,,"Nicolas Jacques","GenOuest "
"Workflow4Metabolomics ",,,"http://workflow4metabolomics.org/
",,,,,,,,,,,,,,"100 an","Corre Erwan","ABiMS"
"Galaxy",,,"http://galaxy.sb-roscoff.fr/
",,,,,,,,,,,,,,"400 an","Corre Erwan","ABiMS"
"Kpax","15",,"No-cost licence for academic use.
",,"Fast protein structure alignment (pairwise, multiple, flexible) and database search (e.g. CATH, SCOP, ECOD, Pfam).
",,,"http://kpax.loria.fr","Analyse des structures, recherche d'homologues et de motifs structuraux, Modélisation comparative et de novo de structures",,,,,"200",,"400 an","50 an","Devignes Marie Dominique","MBI"
"HexServer","266",,"Free service: no login or registration required
",,"Ab initio rigid body protein-protein docking using GPU.
",,,"http://hexserver.loria.fr","Bioinformatique structurale, Prédictions des propriétés structurales",,,,,"0",,"5000 an",,"Devignes Marie Dominique","MBI"
"Hex","720",,"Free licence for academic use
",,"Ab initio rigid body protein-protein docking.
",,,"http://hex.loria.fr","Bioinformatique structurale, Prédictions des propriétés structurales",,,,,"43000",,"18000 an","5000 an","Devignes Marie Dominique","MBI"
"GalaxEast",,,"Accès ouvert à la communauté académique française.
Accès facilité via les connexions rapides (ex : Osiris, Renater)
",,"L’objectif de GalaxEast est de proposer une instance publique fiable de Galaxy qui garantisse sa disponibilité et son accessibilité. GalaxEast offre un catalogue d’une centaine d’outils essentiellement pour la manipulation de données de séquençage haut débit (ChIP-seq, RNA-seq et DNAseq). L’ajout d’outils d’analyses de données de protéomiques et de spectroscopie est prévu pour l’année 2014. Les outils proviennent à la fois du toolshed officiel de Galaxy mais également des développements des bioinformaticiens de la communauté locale. Les nouveaux outils seront mis à disposition dans le toolshed de la plateforme. La plateforme dispose d’un wiki permettant aux utilisateurs de trouver de la documentation et de demander l’ajout de nouveaux outils et génomes.
",,,"http://www.galaxeast.fr/","Analyse de données de séquençage NGS",,,,,,,,"280 an","Thompson Julie","BIstrO"
"NGS-QC Generator ",,,"Accès libre Web pour la communauté académique. Un accès premium est également disponible sur demande
",,"Système de contrôle de qualité universel pour ChIP-seq et des données NGS ‘enrichment-based’. La base de données de NGS-QC héberge des descripteurs de QC pour 6066 ensembles de données accessibles au public. Mendoza-Parra et al. A quality control system for profiles obtained by ChIP sequencing Nucleic Acids Res. 2013 41:e196. Evolution : mise à jour de contenu continue pour maintenir une couverture de tous les ensembles de données publics.
",,,"http://www.ngs-qc.org","Analyse de données de séquençage NGS",,,,,,,,,"Thompson Julie","BIstrO"
"MSDA","6",,"Accès libre web.
",,"Une suite de logiciels et de bases de données pour l’interprétation de données d’analyses protéomiques par spectrométrie de masse (outils de recherche dans les bases de données, pipeline de séquençage de novo, extraction d’annotations fonctionnelles des protéines, extraction de spectres selon des critères de qualité spectrale, ...) Carapito et al. Proteomics. 2014 14:1014-1019.
",,,"https://msda.unistra.fr","Protéomique",,,,,,,,"1584 an","Thompson Julie","BIstrO"
"Macsims","21",,"Accès libre web.
",,"MACSIMS est un système de gestion des informations liées à l'alignement multiple qui combine les connaissances structurales et fonctionnelles des protéines avec des prédictions ab initio. Thompson et al. BMC Bioinformatics. 2006 318.
",,,,,,,,,,,,,"Thompson Julie","BIstrO"
"GETEC",,,,,"Détermination des solutions analytiques évolutives de motifs génétiques basées sur la substitution, insertion et délétion en fonction du temps ou de la longueur de la séquence, ainsi que dans la direction temps direct (passé-présent) ou dans la direction temps inverse (présent-passé) Bernard et al. 2014 (soumis)
",,,,,,,,,,,,,"Thompson Julie","BIstrO"
"Assemble2","21",,"Accès libre web.
",,"Assemble2 permet de concevoir votre structure ARN 2D interactivement et créer et assembler les modules ARN 3D correspondants directement dans UCSF Chimera. Les services disponibles incluent la prédiction 2D, une base de données de motifs structurels 3D, l'alignement de séquences de ARN et l’annotation de structures 3D. Jossinet et al. Bioinformatics. 2010 26:2057-9.
",,,,,,,,,,,,,"Thompson Julie","BIstrO"
"Carnac","93",,"Carnac peut être utilisé via une interface web ou être téléchargé pour être installé localement (un compilateur C est nécessaire). Une version exécutable sous Windows est également disponible.
",,"Carnac est un logiciel d'analyse de structures secondaires d'une famille d'ARN homologues. Il permet de prédire si les séquences partagent réellement une structure secondaire commune. Lorsque cette structure existe, Carnac est capable de détecter une grande partie des tiges. L'entrée du programme est un ensemble de séquences d'ARN simple brin non alignées. La stratégie de repliement s'appuie sur un modèle thermodynamique qui minimise l'énergie. Elle associe l'information provenant des conservations locales de la structure primaire avec celle des covariations entre séquences.
",,,"http://bioinfo.lifl.fr/RNA/carnac/carnac.php","Analyse de séquences",,,,,,,,,"Marot Guillemette, Touzet Hélène","bilille"
"CRAC","57",,"Gratuit via le site de la plateforme.
",,"Méthode d'analyse de données RNA-seq.
",,,"http://crac.gforge.inria.fr/","Analyse de données de séquençage NGS",,,,,"100",,,,"Marot Guillemette, Touzet Hélène","bilille"
"S-MART","18","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/URGI.png","Disponible en téléchargement : https://urgi.versailles.inra.fr/Tools/S-Mart
",,"Boite à outils pour manipuler des données NGS : en particulier de type RNA-Seq, ChiP-Seq. Plus généralement il permet de comparer des annotations sur la base de leur localisation. S-MART fournit également de nombreuses façons de visualiser vos données: taille des reads, de la densité sur le génome, la distance par rapport à un ensemble de référence, et la corrélation des deux ensembles de données (avec des nuages de points).
Zytnicki M, Quesneville H (2011) S-MART, A Software Toolbox to Aid RNA-seq Data Analysis. PLoS ONE 6(10): e25988. doi:10.1371/journal.pone.0025988
",,,"https://urgi.versailles.inra.fr/Tools/S-Mart","Analyse de données de séquençage NGS, Analyse de séquences, Génomique comparative",,,,,"152",,"474 an","267 an","Adam Blondon Anne Françoise","URGI"
"REPET","276","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/URGI.png","Disponible en téléchargement : https://urgi.versailles.inra.fr/Tools/REPET
",,"Le package REPET est composé de plusieurs pipelines dont les 2 principaux TEdenovo et TEannot permettent de détecter de novo [1], classifier [2] et annoter [3] les éléments transposables dans un génome. 
PastecClassifier, pipeline (inclus dans le TEdenovo) permet de classifier une banque de Séquences d'ET (consensus ou pas) [2]
 
1. Flutre T, Duprat E, Feuillet C, Quesneville H: Considering transposable element diversification in de novo annotation approaches. PloS one 2011, 6(1):e16526.
2. Hoede C, Arnoux S, Moisset M, Chaumier T, Inizan O, Jamilloux V, Quesneville H: PASTEC: An Automatic Transposable Element Classification Tool. PloS one 2014, 9(5):e91929.
3. Quesneville H, Bergman CM, Andrieu O, Autard D, Nouaud D, Ashburner M, Anxolabehere D: Combined evidence annotation of transposable elements in genome sequences. PLoS computational biology 2005, 1(2):166-175.
",,,"https://urgi.versailles.inra.fr/Tools/REPET","Analyse de données de séquençage NGS, Analyse de séquences, Evolution et phylogénie, Génomique comparative",,,,,"995",,"1491 an","600 an","Adam Blondon Anne Françoise","URGI"
"SHOW",,,"Le logiciel peut-être téléchargé gratuitement sur http://genome.jouy.inra.fr/ssb/SHOW
",,"SHOW (Structured HOmogeneities Watcher) est un ""R'HOM"" amélioré qui permet de définir souplement un modèle de chaîne de Markov cachée complexe puis d'utiliser ce modèle de diverses manières grâce à l'implémentation d'algorithmes de segmentation (forward-backward, Viterbi), d'estimation (EM) et de simulation. SHOW a essentiellement servi pour prédire les gènes bactériens mais il a aussi été utilisé avec d'autres objectifs comme la détection des sites d'épissage chez l'Homme. SHOW a été développé en collaboration avec le Laboratoire Statistique et Génome d'Evry.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"R'MES",,,"Le logiciel peut-être téléchargé librement sur http://migale.jouy.inra.fr/?q=rmes
",,"R'MES (Recherche de Mots Exceptionnels dans les Séquences d'ADN) est un ensemble de programmes C++ dédié à la recherche de mots (ou familles de mots) ayant une fréquence exceptionnelle dans une séquence donnée (ADN, protéine ou autre). Une visualisation des résultats générés par R'MES peut être obtenue grâce à l'interface graphique RMESPlot disponible sur http://mulcyber.toulouse.inra.fr/projects/rmesplot.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"R'HOM",,,"Le logiciel peut-être téléchargé gratuitement sur http://genome.jouy.inra.fr/ssb/rhom
",,"R'HOM (Recherche de régions HOMogènes dans les séquences d'ADN) est un logiciel dédié à l'utilisation de modèles de chaînes de Markov cachées pour la segmentation de séquences d'ADN en régions homogènes. R'HOM permet d'estimer un modèle de la composition des séquences d'ADN plus réaliste qu'un modèle de chaîne de Markov homogène et ensuite de segmenter les séquences sous ce modèle. Il a été utilisé notamment pour la recherche de transferts horizontaux chez B. subtilis et pour l'estimation de modèles destinés au calcul de la significativité de comptages de mots. R'HOM a été développé en coopération avec le Laboratoire Statistique et Génome d'Evry.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"MuGeN",,,"Le logiciel peut-être téléchargé gratuitement sur http://genome.jouy.inra.fr/MuGeN
",,"MuGeN (Multi-Genome Navigator) est un outil interactif permettant une exploration dans plusieurs génomes annotés complétés par des résultats d'analyse in silico. Il dispose également d'un mode d'exécution en mode batch lui permettant de servir de générateur d'images à divers formats. Ce mode de fonctionnement le prédispose à être intégré à des sites Web pour l'affichage de cartes physiques annotées.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"ISLAND",,,"Le logiciel peut-être téléchargé gratuitement sur http://genome.jouy.inra.fr/ssb/software/island/
",,"ISLAND est un programme qui permet de simuler le progrès d'un projet de cartographie physique de génomes par la méthode d'ancrage. Il fournit en particulier le nombre moyen de contigs obtenus, leur longueur moyenne et la proportion moyenne de génome recouverte par les contigs, en fonction de la longueur du génome, des nombres de clones et ancres utilisés et des longueurs de clones.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"Class2g",,,"Le logiciel peut-être téléchargé gratuitement sur http://migale.jouy.inra.fr/?q=class2g
",,"Class2g fournit une ségrégation des gènes en deux groupes selon leur expression et donne la probabilité d'appartenir à chaque groupe. Les données peuvent être le ratio de l'expression des gènes dans les deux conditions dans des expériences de microarray, l'intensité du signal de l'expression des gènes dans des expériences de macroarray, ou l'intensité du signal de l'hybridation des gènes dans un contexte de génomique comparative.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"AnovArray",,,"Le logiciel peut-être téléchargé gratuitement sur http://migale.jouy.inra.fr/?q=anovarray
",,"AnovArray est un ensemble de macros SAS pour l'analyse de données expressionnelles de type microarray et macroarray. Il permet la quantification des variations biologiques et technologiques et la détection de gènes différentiels entre plusieurs conditions. Les méthodes statistiques utilisées sont l'analyse de variance (ANOVA) et la méthode FDR (False Discovery Rate) pour le calcul de probabilités ajustées dans le cadre de test d'hypothèses multiples.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"FROST","59",,"Accès gratuit à http://genome.jouy.inra.fr/frost/
",,"FROST (Fold Recognition Oriented Search Tool) est un outil de reconnaissance de repliements.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"ESAP",,,"Le logiciel peut-être téléchargé gratuitement sur http://migale.jouy.inra.fr/sites/all/downloads/Mig/Logiciels/ESAP.versio...
",,"ESAP est un programme de prédiction de la conformation de boucles dans les protéines. Il est basé sur une technique de Monte-Carlo dans l'espace des angles dièdres.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"OSS-HMM","29",,"Le logiciel peut-être téléchargé gratuitement sur http://migale.jouy.inra.fr/?q=oss-hmm
",,"OSS-HMM (Optimal Secondary Structure prediction Hidden Markov Model) est un programme de prédiction de la structure secondaire des protéines selon 3 états : hélice alpha (H), brin bêta (b), et structure apériodique (C) qui utilise le formalisme des modèles de Markov cachés. Quand il est utilisé avec une seule séquence il fournit un Q3 de 68.8%. Avec un alignement multiple il fournit un Q3 de 75.5%. Cet outil peut aussi être utilisé pour générer des séquences de protéines ayant une suite de structures secondaires particulières.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"VAST","1526",,"Le logiciel peut-être téléchargé gratuitement sur http://migale.jouy.inra.fr/sites/all/downloads/Migale/Outils/vast.tarbal...
",,"VAST est un programme de comparaison des structures 3D des protéines.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"GPCRAutomodel","17",,"Accès gratuit à http://genome.jouy.inra.fr/GPCRAutomodel
",,"GPCRAutomodel est un serveur permettant de modéliser des couple de récepteurs de protéines G, protéines largement représentées dans la membrane cellulaire et sont des éléments clés de plusieurs mécanismes de réponse cellulaire aux signaux environnementaux.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"DOMIRE","9",,"Accès gratuit à http://genome.jouy.inra.fr/domire
",,"DOMIRE est un serveur utilisant le programme VAST (comparaison des structures 3D des protéines) pour définir les limites des domaines structuraux dans les protéines à partir de leurs coordonnées atomiques. Il fournit aussi pour chaque structure requête une liste de voisins structuraux.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
