"Nom de la formation","Chemin","Type de formation","Cours résumé","Description","Mots clés","Date de la session","Date de la session","Conditions d'accès à la formation","Lien vers la formation","Lieu de la formation","Organisateurs","Sponsors","Nombre de personnes formées","Nombre de participants académiques","Nombre de participants non-académiques","Nombre de jours","Participation","Niveau de formation (formations universitaires uniquements)","Opérateur de la formation","Nombre de sessions","Reccurance","Taux de satisfaction des apprenants","Temps de formation","Thème (formations professionnelles uniquement)"
"Analyse de données RNAseq sous Galaxy",""," Formation professionnelle","","L’analyse des données biologiques nécessite de plus en plus l’utilisation de ressources et d’environnements informatiques difficiles à maîtriser pour le biologiste.
Cette formation présente et décompose l’utilisation de l’environnement Galaxy.
En se basant sur une plateforme web, comme c’est la cas avec Mobyle, cet environnement propose une nouvelle approche pour rendre l’analyse biologique plus aisée pour les non- informaticiens.
Objectifs 
Prise en main de l’environnement Galaxy et des différentes fonctionnalités proposées.
Organisation pédagogique 
La formation est exclusivement orientée pratique! Il s’agir d’utiliser des données de RNAseq fournies par l’UMR 0598 Agrocampus-Ouest / INRA pour utiliser les outils classiques d’analyse de données RNAseq (Tophat, flagstat, Cufflinks, Cuffcompare, Cuffdiff, ou htseq-count, Deseq…)
Public visé
Chercheurs et ingénieurs, biologistes souhaitant s’initier à l’analyse de données RNAseq.
","","","","Pas de pré-requis.
","","","","","13/ an","","","","","","","2","Oui","","1 jours / an","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Initiation à l’analyse de données de type RAD par le pipeline Stacks sous la plateforme web d’analyse de données Galaxy",""," Formation professionnelle","","Cette formation initie l’utilisation de Stacks dans l’environnement Galaxy.
En se basant sur une plateforme web, comme c’est la cas avec Mobyle, nous proposons une nouvelle utilisation de Stacks pour rendre l’analyse biologique plus aisée pour les non- informaticiens.
Objectifs 
Principe de l’analyse de données RAD-seq via Stacks.
Organisation pédagogique 
La formation comprendra un exposé théorique avec démonstrations pratiques.
Le programme :
1/ Présentation théorique du fonctionnement global de Stacks. Compter 1h
2/ Analyse de données RAD avec Stacks sous Galaxy. 3h
a) cartographie génétique
b) génomique des populations
c) assemblage de données pairées
Public visé
Chercheurs et ingénieurs, biologistes et bio-informaticiens souhaitant analyser des données de type RAD-seq dans le portail web Galaxy.
","","",""," 
","","","","","20/ an","","","","","","","1","Non","","1 jours / an","Framework Galaxy"
"HUBzero : Plateforme web open-source de collaboration scientifique",""," Formation professionnelle","","Les projets de recherche sont de plus en plus multi-disciplinaires et multi-site. Afin de faciliter la gestion de groupe, la gestion de projet et le partage de ressources, de nombreux outils généraux ou dédiés entreprise existent. HUBzero représente la meilleure solution open-source et dédiée science. Nous proposons de vous présenter son fonctionnement global à travers une démonstration interactive.
Objectifs 
Prise en main de l’environnement HUBzero et des différentes fonctionnalités proposées.
Organisation pédagogique 
La formation est exclusivement orientée démonstration!
Public visé
Chercheurs et ingénieurs, biologistes souhaitant s’initier à l’utilisation d’HUBzero pour la gestion de groupes et de projets et le partage de ressources.
","","","","","","","","","6/ an","","","","","","","1","Non","","1 jours / an","Autre"
"Formation continue CNRS",""," Formation professionnelle","","Phylogénie moléculaire, introduction aux notions d'évolution moléculaire et de phylogénie.
Modèles d'évolution des séquences, méthodes de reconstruction phylogénétiques.
Recherche de séquences homologues (BLAST), alignement multiples et reconstructions phylogénétiques.
Evaluation de la pertinence des arbres (bootstrap).
 
","","","","","","","","","","","","","","","","","","","","Phylogénie"
"Modules Biologie École Doctorale SVSAE",""," Formation universitaire","","Les UE de bioinformatique de la spécialité AMD sont ouvertes aux doctorants de l'école doctorale SVSAE dans le cadre de leur formation doctorale. 3 UE sont particulièrement suivies : UE « Programmation en perl », UE « Bioistatistiques et programmation sous R » et UE « Génomique et bioinformatique ». Les formations continues proposées dans le domaine de la bioinformatique sont également ouvertes aux étudiants de l'Ecole Doctorale, et permettent de valider un module de biologie. Forme 2 à 3 doctorants par an.
 
","","","","","","","","","3/ an","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","","","","",""
"DUT Bioinformatique",""," Formation universitaire","","A la convergence de la biologie, de l’informatique, cette formation pluridisciplinaire vise à former des techniciens supérieurs possédant une double compétence biologie/informatique capables de produire et de traiter des données biologiques de masse. La formation assurée en 2 ans vise à donner un socle solide de compétences transversales en biologie (génomique, transcriptomique, protéomique…), informatique (programmation, algorithmie, bioinformatiques structurale et intégrative ...) et statistiques, complétée par un travail en groupe ainsi qu’un stage de fin d’année en milieu professionnel. Axée sur les technologies « omiques », cette option propose une professionnalisation rapide pour un domaine en pleine croissance et donne des compétences solides pour  continuer vers un master ou un doctorat.
 
","","","","Accessible en formation continue pour des bacheliers des séries S, STL et en formation continue. Accessible directement en 2ème année pour des étudiants ayant validé une année dans le supérieur et ayant des compétences en biologie et des bases en programmation
 
","","","","","45/ an","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","","","","",""
"Licence 3 Science de la Vie",""," Formation universitaire","","2 UE fondamentales avec un enseignement de biostatistiques (statistiques descriptives, lois, tests, régression linéaire, analyse de variance) et bioinformatique (prédiction de gène, prédiction de fonction, bases de données bioinformatiques, alignement de séquences, phylogénie) en L2 et L3. Une UE optionnelle de programmation et bases de données relationnelles en L3.
 
","","","","","","","","","180/ an","","","","","Licence","","","Oui","","",""
"Licence 2 Science de la Vie",""," Formation universitaire","","2 UE fondamentales avec un enseignement de biostatistiques (statistiques descriptives, lois, tests, régression linéaire, analyse de variance) et bioinformatique (prédiction de gène, prédiction de fonction, bases de données bioinformatiques, alignement de séquences, phylogénie) en L2 et L3. Une UE optionnelle de programmation et bases de données relationnelles en L3.
 
","","","","","","","","","250/ an","","","","","Licence","","","Oui","","",""
"Master Bio-informatique",""," Formation universitaire","","Forme au traitement et à l'analyse des données « à haut débit » (génomique, transcriptomique, protéomique, métabolomique). Cette formation inclus l’acquisition des connaissances fondamentales et des compétences opérationnelles liées à l’interprétation de ce type de données, à travers des enseignements de biologie, bioinformatique, informatique et statistiques appliquées à la Biologie. Elle se caractérise par une formation orientée vers le développement de web services et l’usage de ressources de calcul distribuées.
 
","","","","Licence de biologie / lic. Pro sur dossier
","","Campus des Cézeaux, Aubière / site Dunant","","","15/ an","","","","Payante","Master","Université Clermont Auvergne","","Oui","","",""
"Intégration d’outils dans la plateforme web GALAXY ",""," Formation professionnelle","","","","","","","","","","","10/ an","","","","","","","2","Non","","1 jours / an","Framework Galaxy"
"Cluster  ",""," Formation professionnelle","","","","","","","","","","","","","","","","","","2","Oui","","1 jours / an","Langages de Programmation & Computer Sciences, Autres langages"
"Linux initiation",""," Formation professionnelle","","","","","","","","","","","","","","","","","","1","Oui","","1 jours / an","Langages de Programmation & Computer Sciences, Linux"
"Linux avancé",""," Formation professionnelle","","","","","","","","","","","","","","","","","","1","Oui","","1 jours / an","Langages de Programmation & Computer Sciences, Linux"
"R initiation",""," Formation professionnelle","","","","","","","","","","","","","","","","","","1","Oui","","1 jours / an","Langages de Programmation & Computer Sciences, Langage R"
"R avancé",""," Formation professionnelle","","","","","","","","","","","","","","","","","","1","Oui","","1 jours / an","Langages de Programmation & Computer Sciences, Langage R"
"Galaxy initiation",""," Formation professionnelle","","","","","","","","","","","","","","","","","","2","Oui","","1 jours / an","Framework Galaxy"
"Galaxy : RNAseq de novo/avec référence & cleaning",""," Formation professionnelle","","","","","","","","","","","","","","","","","","1","Oui","","2 jours / an","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Galaxy : Initiation à la phylogénie",""," Formation professionnelle","","","","","","","","","","","","","","","","","","1","Oui","","2 jours / an","Framework Galaxy"
"Introduction à la phylogénie moléculaire",""," Formation professionnelle","","Le C3BI propose des cours pour acquérir les notions théoriques de phylogénie et maitriser les outils et logiciels.
Les cours d'”Introduction à la phylogénie moléculaire” sont ouverts EN ACCES LIBRE  à tous les Pasteuriens et dispensés en langue française .
l'après midi les travaux pratiques sont limités à 15 personnes (sur inscription)
** Mardi 29 septembre
– 9h30-11h : Méthodes de distance (A. Criscuolo)
– 14h-15h30 : Méthodes de Maximum de Parcimonie (O. Gascuel)
** Mercredi 30 septembre
– 9h30-11h : Modèles d’évolution (O. Gascuel)
– 14h-15h30 : Méthodes de Maximum de Vraisemblance (O. Gascuel)
** Jeudi 1er octobre
– 9h30-11h : Méthodes Bayesiennes (G. Perriere)
– 14h-15h30 : Inférences des forces sélectives (G. Perriere)
","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes, Datation des spéciations, Détection de sélection","","18-02-2019 to 22-02-2019","réservé aux membres de l'Institut Pasteur
","http://c3bi.pasteur.fr","","","INCEPTION","15/ an","","","","","","","1","Oui","","3 jours / an","Phylogénie"
"Initiation à l'analyse de données avec R",""," Formation professionnelle","","Le cours s’adresse à des personnes qui veulent apprendre ou ré-apprendre à utiliser les statistiques à bon escient pour leurs propres projets. L’objectif est de présenter et expliquer les principales notions de statistiques utiles pour décrire un jeu de données, en explorer les propriétés afin d’en tirer des conclusions robustes, utiliser à bon escient les méthodes les plus courantes (tests d’hypothèse, ACP, …) et savoir lire, interpréter (et éventuellement aborder d’un œil critique) les résultats présentés dans les publications. Nous utiliserons le moins possible le formalisme mathématique mais insisterons sur les propriétés des méthodes, leurs pré-requis, l’interprétation des résultats. Nous aborderons les notions d’analyse exploratoire, ACP, clustering, estimation, échantillonnage, régression, tests d’hypothèse, planification d’expérience
Ce cours est une initiation à l’analyse de données. Il est préférable d’avoir une connaissance minimale de R. Dans le cas contraire, un tutoriel d’initiation est disponible sur la page web du cours et les notions de base de R seront rappelées pendant la pratique. Pour les personnes n’ayant jamais utilisé R, il peut être utile d’avoir des connaissances de base en programmation, quel que soit le langage.
Les cours seront donnés en Français et alterneront théorie et pratique avec RStudio. Il est demandé à chaque participant de venir avec un ordinateur portable chargé sur lequel il aura préalablement installé les éléments nécessaires (R, Rstudio et les fichiers de données sur lesquels nous travaillerons). La liste complète des fichiers et logiciels nécessaires sera disponible sur la page web du cours une dizaine de jours avant le début de la session.
 
 
","Biostatistiques, Statistique descriptive, Tests statistiques","","","ouvert à tous, sur inscription.
","https://c3bi.pasteur.fr","Institut Pasteur","","","30/ an","","","","","","","1","Oui","","3 jours / an","Langages de Programmation & Computer Sciences, Langage R"
"hands-on NGS course",""," Formation professionnelle","","The aim of this course is to provide students with theory and practical
tools to analyze Next Generation Sequencing (NGS) data.  The course is
composed of a theory and practice lessons . In the first week theory
sessions will cover the main kind of HTS analyses (re-sequencing and
variant analysis, de-novo sequencing, transcriptomics, ChIP-Seq,
metagenomics), in addition to some general bioinformatics tools and
Biostatistics. The second week is dedicated to practice, in which the
students work with their own data in small groups with a mentor that
guides them. The practice week is designed so the course is of immediate
use to each student. We expect the students to go back to their countries
with the necessary knowledge to continue working on their own data.
","Analyse de données de séquençage NGS, Méthodologie, Génomique (DNA-seq), Transcriptomique (RNA-seq), Analyse de variants, Analyse de la régulation de l’expression des gènes, Chip-seq, Métagénomique, métatranscriptomique","","","belonging to the Institut Pasteur International Network (RIIP) and the University of Sao Paulo.
","http://c3bi.pasteur.fr","","","","50/ an","","","","","","","2","Oui","","20 jours / an","Analyse des données NGS"
"LeiSHield training course on Next Generation Sequencing",""," Formation professionnelle","","The primary aim of this course was to provide a basic understanding of the Leishmania genome, NGS technology and analysis tools, and to develop a basic pipeline for the students to start working on their data. This first pipeline will help to standardize all analysis done in the consortium and should facilitate a posterior paper publication. This pipeline will evolve
in the context of a collaboration between the Leishield partners and the C3BI, taking into account the difficulties to analyze and interpret the sequence data generated, and the specific needs of each Consortium node. A future Workshop will be organized in June 2016 to tackle all these questions, and to have a follow-up on the analysis.
","","","","belonging to the Leishield consortium.
","","","","","12/ an","","","","","","","1","Non","","10 jours / an","Analyse des données NGS"
"Cours Pasteur Analyse des Génomes",""," Formation universitaire","","Chaque année, ce cours théorique et pratique d’une durée de sept semaines fait le tour
des concepts, techniques et outils nécessaires à l'étude des génomes, des étapes expérimentales à l’analyse des résultats. Il illustre les différents aspects de la génomique et de ses applications en se basant sur les résultats les plus récents de la recherche - voir plus
","Analyse de données de séquençage NGS, Analyse de séquences, Biostatistiques, Génomique comparative","","05-11-2018 to 21-11-2018","","http://www.pasteur.fr/fr/enseignement/cours-pasteur/pole-mecanismes-du-vivant/an...","","","","20/ an","","","","","Master","","1","Oui","","30 jours / an",""
"Rôles multiples de l’ARN",""," Formation universitaire","","Ce cours théorique et pratique de deux semaines est orienté sur les méthodes pour étudier la synthèse, maturation et la dégradation d’une large variété de molécules d’ARN dans les cellules eucaryotes - voir plus
","Analyse de données de séquençage NGS, Transcriptomique (RNA-seq)","","11-02-2019 to 22-02-2019","Les candidats doivent avoir de bonnes connaissances en génétique, biologie moléculaire et biochimie du niveau de la fin de première année de Master, ainsi qu’un niveau minimum (B1) en français ET en anglais. Les candidatures sont sélectionnées et évaluées par le Comité du cours.
","https://www.pasteur.fr/fr/enseignement/programmes-doctoraux-et-cours/cours-paste...","institut Pasteur","","","15/ an","","","","","Master","","1","Oui","","10 jours / an","Analyse des données RNAseq"
"Programmation et scripting ",""," Formation professionnelle",""," Ce cours s'adresse à toute personne de l'institut Pasteur ou appartenant au réseau international (RIIP) souhaitant acquérir des bases de la programmation et du scripting utiles à la bioinformatique et ayant du mal à trouver du temps pour se former tout le long de l'année. 
Initiation unix 3 jours
Programmation Python 6 jours
Utilisation d'un cluster de calcul 1 jour
Biopython 2 jours
 
","","","","Membre de l'institut Pasteur ou au réseau international de l'Institut  Pasteur (RIIP)
","","","","","20/ an","","","","","","","1","Oui","","11 jours / an","Langages de Programmation & Computer Sciences, Autres langages"
"Bioinformatique et Analyses Mutationnelles",""," Formation universitaire","","Module de formation à la bioinformatique appliquée à l'analyse des données génétiques dans le cadre des maladies génétiques humaines. Cet enseignement fait partie du Master 2 de Pathologie Humaine dispensé à la faculté de Médecine de la Timone à Marseille.
 
","Analyse de données de séquençage NGS, Analyse de séquences","","14-11-2016 to 18-11-2016","Inscription au Master 2 de Pathologie Humaine
","http://formations.univ-amu.fr/ME5APH-ENAPHCU41.html","","","","20/ an","","","","","Master (M2 uniquement)","","1","Oui","","5 jours / an","Analyse des données NGS, Bioinformatique & Biomédicale"
"Biotechnologies et bioinformatique appliquées aux maladies rares",""," Formation universitaire","","Module optionnel du DIU Maladies rares : de la recherche au traitement.
","Analyse de données de séquençage NGS, Analyse de séquences","","06-02-2017 to 10-02-2017","Inscription au DIU Maladies rares : de la recherche au traitement
","http://fondation-maladiesrares.org/actualite/diu-maladies-rares-de-la-recherche-...","","","","10/ an","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","1","Oui","","5 jours / an","Analyse des données NGS, Bioinformatique & Biomédicale"
"Intégration d'outils dans Galaxy",""," Formation universitaire","Workshop organisé sur les bonnes pratiques d'intégration, dans Galaxy, des outils disponibles dans le toolshed.","Galaxy (https://galaxyproject.org/) est une plateforme permettant d’intégrer et d’exécuter via une interface graphique des outils bioinformatiques, normalement utilisables en ligne de commande. Galaxy permet ainsi de faciliter l’utilisation de ces outils par tous, dans un environnement contrôlé,mais aussi de favoriser la reproductibilité des analyses (workflows, …).
Actuellement, > 3 750 outils (disponibles sur https://toolshed.g2.bx.psu.edu/) peuvent être intégrés à Galaxy. Mais tous les outils bioinformatiques dont vous pouvez avoir besoin ne sont pas intégrés dans 
l’environnement Galaxy. Et vous devez ainsi parfois renoncer à utiliser Galaxy et ses avantages pour traiter vos données.

Un workshop est organisé à Clermont-Ferrand le Mercredi 25 Mai 2016. 
N’hésitez pas à faire circuler cette information aux personnes potentiellement intéressées.
Merci par avance.
Bérénice BATUT

","","","25-05-2016","","https://brnice.typeform.com/to/vCq4AV","Clermont-Ferrand - Université d'Auvergne","","","20/ an","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","1","Non","","1 jours / an","Framework Galaxy"
"Training on annotation of transposable elements",""," Formation professionnelle","Detection and annotation of transposable elements in eukaryote genome","The objectives of this training are: 
To acquire knowledge on transposable elements
To achieve annotation of transposable elements in the genome using REPET pipelines
To be autonomous on your own data.
Program
Opening presentations on transposable elements and their annotation
Strategies of repeat annotation
REPET pipelines overview and practices 
Post-analyze tools overview and practices
 
","Analyse de séquences","","11-06-2018 to 13-06-2018","This training is dedicated to biologists and/or bioinformaticians (10 pers. max)
Cost : 150€
Registration and information by mail to: urgi-contact@inra.fr
","https://urgi.versailles.inra.fr/Platform/Training/Training-on-annotation-of-tran...","INRA-URGI, Centre de Versailles","INRA - URGI plateforme","","10/ an","","","3.00","Payante","","","1","Oui","","3 jours / an","Bioinformatique & Génomique végétale"
"FROGS formation : tools for bioinformatics and statistics analyses with amplicon metagenomics data","https://www.france-bioinformatique.fr/sites/default/files/FROGS_logo_0.png"," Formation professionnelle","metagenomics from amplicons with FROGS","The Toulouse Genopole bioinformatics platform, Sigenae and NED (GenPhySE) organize a series of training courses to familiarize yourself with the various resources it provides. These resources are currently: the hardware infrastructure, biological data banks and widely used bioinformatics softwares. This training session, organized by Bioinfo Genotoul, Sigenae and NED (GenPhySE), is designed to help you to deal with NGS data of 16S, 18S … DNA produced with MiSeq from Illumina and Roche 454 technologies in the Galaxy workbench. You will discover how to use our Galaxy instance, clean reads, clusterize them, do the taxonomic affiliation and perform statistics to interpret your results with the FROGS pipeline (http://frogs.toulouse.inra.fr/).
 
","Métagénomique, métatranscriptomique","","01-07-2019 to 04-07-2019","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/metagenomic-amplicons-and-stats-with...","Auzeville-Tolosane","NED (GenPhYSE)","","20/ an","28","0","12.00","Payante","","","2","Oui","","8 jours / an","Analyse des données NGS, Framework Galaxy, Metagénomique"
"IBI - 2","https://www.france-bioinformatique.fr/sites/default/files/cloudIFB_3.png"," Formation professionnelle","Formation à l'utilisation avancée du cloud IFB","","","","01-07-2019 to 03-07-2019","","http://www.france-bioinformatique.fr/en/evenements/IFB-IBI","Gif sur Yvette, France","","","","","","","","","","","Oui","","",""
"Introduction à la Phylogénie Moléculaire : CONCEPTS, METHODES ET OUTILS",""," Formation professionnelle","L'Institut Pasteur propose des cours pour acquérir les notions théoriques de phylogénie et maitriser les outils et logiciels.","Le C3BI propose des cours pour acquérir les notions théoriques de phylogénie et maitriser les outils et logiciels.
Les cours d’”Introduction à la phylogénie moléculaire” sont ouverts à tous (inscription obligatoire pour les cours et travaux pratiques dans la limite des places disponibles).
Il est possible de ne s’inscrire que pour la partie théorique. Ces cours sont dispensés en langue française.
Lundi 14 Novembre (9h30-12h30): Présentation des principales banques de données et BLAST
Mardi 15 Novembre (9h30-11h00): Alignements Multiples
Mercredi 16 Novembre (9h30-11h00): Introduction à la Phylogénie
Jeudi 17 Novembre (9h30-11h00): Modèles d’évolution
Vendredi 18 Novembre (9h30-11h00): Approches par Maximum de Parcimonie
Lundi 21 Novembre (9h30-11h00): Méthodes de Distance
Mardi 22 Novembre (9h30-11h00): Méthodes de Vraisemblance
Mercredi 23 Novembre (13h30-15h00): Reconstruction Phylogénétique & Approches Bayésiennes
Jeudi 24 Novembre (9h30-11h00): Inférence des Forces Sélectives
Vendredi 25 Novembre (9h30-11h00): Choix des Méthodes et Interprétation
programme complet 
inscription par mail à formation@pasteur.fr (avec le sujet “Phylogénie Moléculaire”) + formulaire 
","","","14-11-2016 to 25-11-2016","ouvert à tous (chercheur,ingénieur, étudiant) mais inscription obligatoire par mail à formation@pasteur.fr (avec le sujet “Phylogénie Moléculaire”) + formulaire 
","https://c3bi.pasteur.fr/training-introduction-a-la-phylogenie-moleculaire-concep...","Institut Pasteur 25-28 rue du Dr Roux 75015 Paris","","","12/ an","","","","","","","1","","","5 jours / an","Phylogénie"
"Linux et script pour la bioinformatique",""," Formation professionnelle","","Pour la plupart des tâches communes, le système Linux (libre et gratuit) peut avantageusement remplacer les systèmes d'exploitation propriétaires tels que Windows ou MacOS. Les énormes avantages de Linux sont sa gratuité, son évolution constante et l'inexistence des virus. Ce stage est une initiation à l'utilisation du système d'exploitation Linux et des lignes de commande pour les non informaticiens, ainsi qu'une initiation à l'écriture et l'emploi de scripts (petits programmes) pour faciliter l'analyse de données. Il s'agit pour des débutants ou quasi débutants Linux d'utiliser le système et d'acquérir l'autonomie nécessaire pour résoudre les besoins communs simples d'analyse par la combinaison des méthodes à travers des scripts.
 
","Aucun des termes ci-dessus ne convient","","05-11-2019 to 07-11-2019","S'acquitter des frais d'inscription, notions de base en informatique : fichiers, répertoires, etc.
","http://cnrsformation.cnrs.fr/stage-17285-Linux-et-script-pour-la-bioinformatique...","Montpellier","","","12/ an","","","","","","","1","Oui","","2 jours / an","Linux"
"Cycle « Analyse de données de séquençage à haut-débit » - Module 3/5 : Analyses RNA-seq - partie 1 (bioinformatique)","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_1.png"," Formation professionnelle","Formation ""Analyses RNA-seq - partie 1""","bilille propose chaque année un cycle de formation d'introduction à l'analyse des données de séquençage à haut débit.
Ce cycle est composé de 5 modules, à la carte : 
- Module 1: Analyses ADN
- Module 2: Analyses de variants
- Module 3: Analyses RNA-seq, bioinformatique
- Module 4: Analyses RNA-seq, biostatistique
- Module 5: Métagénomique
Les fiches descriptives sont accessibles sur le site de bilille. Chaque module comprend des présentations générales et des séances pratiques sur ordinateur, avec Galaxy.
Les objectifs du module 3 sont :
- Savoir réaliser une analyse transcriptomique par RNA-seq avec ou sans (de novo) génome de référence à l’aide du portail Galaxy
- Avoir un regard critique sur la qualité des lectures obtenues par le séquenceur
- Connaître et savoir paramétrer les outils nécessaires à l’analyse
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de données de séquençage NGS, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyses de transcrits et transcrits variants","","13-06-2019 to 14-06-2019","Etre familier avec la plate-forme web Galaxy (idéalement avoir suivi la formation bilille « Initiation à Galaxy »)
Avoir suivi le module 1/5 « Analyses ADN » de ce cycle ou toute autre formation permettant de justifier de connaissances sur les données de séquençage haut débit et leur alignement.
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","2.00","","","","1","","100%","2 jours / an","Analyse des données NGS, Analyse des données RNAseq"
"Cycle « Analyse de données de séquençage à haut-débit » - Module 1/5 : Analyses ADN","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_3.png"," Formation professionnelle","Formation ""Analyses ADN""","bilille propose chaque année un cycle de formation d'introduction à l'analyse des données de séquençage à haut débit.
Ce cycle est composé de 5 modules, à la carte : 
- Module 1: Analyses ADN
- Module 2: Analyses de variants
- Module 3: Analyses RNA-seq, bioinformatique
- Module 4: Analyses RNA-seq, biostatistique
- Module 5: Métagénomique
Les fiches descriptives sont accessibles sur le site de bilille. Chaque module comprend des présentations générales et des séances pratiques sur ordinateur, avec Galaxy.
Les objectifs du module 1 sont :
- Apprendre à manipuler des données de séquençage d’ADN
- Réaliser des contrôles de qualité et du nettoyage des lectures
- Présenter les méthodes et outils d'alignement
- Réaliser des contrôles de qualité et des alignements sur une référence
- Introduction à l’assemblage des lectures sans référence
- Utiliser la plateforme Galaxy pour ces analyses
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de données de séquençage NGS, Assemblage de génomes et transcriptomes, Alignements de lectures sur des génomes","","07-03-2019 to 08-03-2019","Etre familier avec la plate-forme web Galaxy (idéalement avoir suivi la formation bilille « Initiation à Galaxy »)
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","2.00","","","","1","","100%","2 jours / an","Analyse des données NGS"
"Cycle « Analyse de données de séquençage à haut-débit » - Module 4/5 : Analyses RNA-seq - partie 2 (biostatistique)","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_4.png"," Formation professionnelle","Formation ""Analyses RNA-seq -partie 2""","bilille propose chaque année un cycle de formation d'introduction à l'analyse des données de séquençage à haut débit.
Ce cycle est composé de 5 modules, à la carte : 
- Module 1: Analyses ADN
- Module 2: Analyses de variants
- Module 3: Analyses RNA-seq, bioinformatique
- Module 4: Analyses RNA-seq, biostatistique
- Module 5: Métagénomique
Les fiches descriptives sont accessibles sur le site de bilille. Chaque module comprend des présentations générales et des séances pratiques sur ordinateur, avec Galaxy.
Les objectifs du module 4 sont :
- Savoir réaliser une analyse différentielle de données RNA-seq à partir d’une table de comptage (quantifiant les lectures alignées) à l’aide du portail Galaxy
- Avoir un regard critique sur les résultats d’une analyse différentielle
- Comprendre différentes méthodes de normalisation et les contextes d’utilisation correspondants
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de données de séquençage NGS, Transcriptomique (RNA-seq)","","16-09-2019 to 17-09-2019","- Etre familier avec la plate-forme web Galaxy (idéalement avoir suivi la formation bilille « Initiation à Galaxy »)
- Avoir suivi le module 2/5 «Analyses RNA-seq–partie 1 (bioinformatique)» de ce cycle ou toute autre formation permettant de justifier de connaissances sur les données de séquençage haut débit et la façon d’obtenir une table de comptage
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","2.00","","","","1","","100%","2 jours / an","Analyse des données NGS"
"Cycle « Analyse de données de séquençage à haut-débit » - Module 2/5 : Analyses de variants","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_5.png"," Formation professionnelle","Formation ""Analyses de variants""","bilille propose chaque année un cycle de formation d'introduction à l'analyse des données de séquençage à haut débit.
Ce cycle est composé de 5 modules, à la carte : 
- Module 1: Analyses ADN
- Module 2: Analyses de variants
- Module 3: Analyses RNA-seq, bioinformatique
- Module 4: Analyses RNA-seq, biostatistique
- Module 5: Métagénomique
Les fiches descriptives sont accessibles sur le site de bilille. Chaque module comprend des présentations générales et des séances pratiques sur ordinateur, avec Galaxy.
Les objectifs du module 2 sont :
- Comprendre les grands principes de la détection de variants
- Réaliser les différentes étapes du post-traitement des données d’alignement à la détection de variants
- Adapter l’analyse en fonction du type de données NGS générées
- Comprendre la structure des données de variants
- Savoir annoter des variants
- Etre capable d’interpréter une liste de variants grâce aux outils libres disponibles
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de données de séquençage NGS, Génomique (DNA-seq), Analyse de variants, Panels (amplicons, captures), Exomes","","01-04-2019 to 03-04-2019","- Etre familier avec la plate-forme web Galaxy (idéalement avoir suivi la formation bilille « Initiation à Galaxy »)
- Avoir suivi le module 1/5 « Analyses ADN » de ce cycle ou toute autre formation permettant de justifier de connaissances sur les données de séquençage haut débit et leur alignement
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","3.00","","","","1","","100%","3 jours / an","Analyse des données NGS"
